Date,Adj Close,Open,High,Low,Volume,
8/7/2013,33144,33678,33678,32876,446.43K,
9/7/2013,33678,33144,33678,33144,524.59K,
10/7/2013,33411,33946,33946,33144,388.65K,
11/7/2013,33946,33411,33946,33144,4.68M,
12/7/2013,34747,33946,34747,33678,4.30M,
15/07/2013,34480,34747,35015,33678,4.62M,
16/07/2013,34213,34480,34747,33678,6.16M,
17/07/2013,34213,34213,34747,33678,7.28M,
18/07/2013,33946,33946,34480,33678,7.81M,
19/07/2013,34213,34213,34480,33678,6.38M,
22/07/2013,33946,34213,34213,33678,8.24M,
23/07/2013,33946,33946,34213,33678,8.35M,
24/07/2013,33946,33946,34213,33411,4.93M,
25/07/2013,34213,33946,34213,33678,8.02M,
26/07/2013,34213,34213,34213,33678,7.25M,
29/07/2013,33678,33946,34213,33678,1.92M,
30/07/2013,33144,33678,33946,33144,330.26K,
31/07/2013,33678,33144,33678,32609,512.37K,
1/8/2013,33946,33144,33946,33144,347.49K,
2/8/2013,33946,33678,34213,33678,321.41K,
5/8/2013,34213,33678,34213,33678,494.36K,
6/8/2013,34480,33946,34480,33678,742.68K,
7/8/2013,35282,34480,35549,34213,947.54K,
8/8/2013,35282,35282,35549,35015,524.87K,
9/8/2013,35282,35282,35549,34747,502.16K,
12/8/2013,34480,35282,35282,34480,347.90K,
13/08/2013,34747,34747,35015,34480,421.27K,
14/08/2013,35015,34747,35015,34213,357.05K,
15/08/2013,35282,35282,35816,35282,1.58M,
16/08/2013,35549,35282,35549,35015,570.60K,
19/08/2013,35282,35549,36084,35282,811.30K,
20/08/2013,34747,35282,35549,34480,827.69K,
21/08/2013,35015,34747,35282,34213,618.34K,
22/08/2013,35549,34747,36084,34747,1.18M,
23/08/2013,35282,35549,35816,34480,531.41K,
26/08/2013,34747,35282,35282,34480,532.55K,
27/08/2013,34213,34480,34747,34213,271.52K,
28/08/2013,33946,33946,33946,32342,1.45M,
29/08/2013,32876,33678,33946,32876,866.13K,
30/08/2013,33411,32876,33411,32876,293.75K,
3/9/2013,33144,33144,33411,32876,310.94K,
4/9/2013,33144,32876,33411,32609,679.72K,
5/9/2013,33144,32876,33411,32609,525.03K,
6/9/2013,33946,33144,34213,32876,3.45M,
9/9/2013,33144,33678,33946,33144,578.38K,
10/9/2013,33678,33144,33946,33144,242.42K,
11/9/2013,33946,33678,33946,33411,418.63K,
12/9/2013,33678,33678,33946,33411,277.66K,
13/09/2013,33678,33411,34213,33411,365.26K,
16/09/2013,33411,33946,33946,33411,497.70K,
17/09/2013,33411,33678,33678,33411,217.18K,
18/09/2013,33411,33411,33678,33144,287.69K,
19/09/2013,33411,33678,33678,33411,318.91K,
20/09/2013,32876,33411,33411,32876,1.65M,
23/09/2013,33144,33411,33411,32876,129.34K,
24/09/2013,33411,32876,33411,32876,330.58K,
25/09/2013,33144,33411,33678,33144,608.20K,
26/09/2013,33411,33144,33678,33144,264.75K,
27/09/2013,33411,33411,33678,33144,256.63K,
30/09/2013,33411,33411,33678,33144,690.34K,
1/10/2013,33144,33411,33678,33144,809.78K,
2/10/2013,33411,33411,33678,33144,516.97K,
3/10/2013,33411,33678,33678,33144,397.57K,
4/10/2013,33678,33411,33678,33411,715.88K,
7/10/2013,34213,33678,34213,33411,884.29K,
8/10/2013,34213,34213,34747,34213,2.92M,
9/10/2013,34213,34480,34480,33946,163.79K,
10/10/2013,34213,34213,34213,33678,305.29K,
11/10/2013,34213,34213,34480,33946,453.15K,
14/10/2013,33946,34213,34213,33678,107.11K,
15/10/2013,34213,33678,34213,33678,348.43K,
16/10/2013,34480,34213,34747,34213,679.44K,
17/10/2013,34747,34480,35015,34480,470.64K,
18/10/2013,35015,34747,35015,34213,389.45K,
21/10/2013,35282,35015,35549,34747,463.60K,
22/10/2013,35549,35282,35816,35282,462.27K,
23/10/2013,36084,35817,36084,35549,478.77K,
24/10/2013,35549,36084,36084,35282,249.69K,
25/10/2013,35549,35549,35816,35282,133.47K,
28/10/2013,35282,35549,35549,35015,98.25K,
29/10/2013,35282,35015,35282,34747,168.66K,
30/10/2013,35817,35549,35816,35282,341.04K,
31/10/2013,36084,35817,36084,35817,247.71K,
1/11/2013,35817,36084,36084,35549,152.31K,
4/11/2013,35817,35817,36084,35282,165.81K,
5/11/2013,35549,35549,36084,35015,168.51K,
6/11/2013,35549,35282,35816,35282,406.75K,
7/11/2013,35549,35549,35816,35015,371.57K,
8/11/2013,35282,35282,35549,35282,229.32K,
11/11/2013,35282,35549,35549,34747,139.01K,
12/11/2013,35282,35282,35549,34747,398.26K,
13/11/2013,35282,35015,35549,35015,481.88K,
14/11/2013,35549,34747,35549,34747,877.43K,
15/11/2013,35549,35549,35817,35282,902.74K,
18/11/2013,35817,35817,36351,35549,880.33K,
19/11/2013,36351,35817,36351,35549,664.75K,
20/11/2013,36351,36084,36351,35817,349.04K,
21/11/2013,36351,36351,36886,36084,429.50K,
22/11/2013,36351,36351,36618,36084,470.90K,
25/11/2013,36618,36351,36886,36351,429.41K,
26/11/2013,36618,36618,36618,35817,1.37M,
27/11/2013,35817,36618,36618,35817,976.72K,
28/11/2013,36351,36084,36351,35817,515.40K,
29/11/2013,36886,36351,36886,36351,669.73K,
2/12/2013,37420,36618,37420,36618,330.21K,
3/12/2013,37955,37420,37955,37420,528.05K,
4/12/2013,37955,37688,38222,37688,130.40K,
5/12/2013,37955,37955,38222,37420,445.55K,
6/12/2013,37955,37688,37955,37688,152.48K,
9/12/2013,37955,38222,38222,37688,196.60K,
10/12/2013,38222,37955,38489,37688,582.26K,
11/12/2013,38222,38222,38222,37688,129.43K,
12/12/2013,38222,37955,38222,37955,83.17K,
13/12/2013,37955,37955,38489,37955,179.10K,
16/12/2013,36084,37420,37955,36084,561.25K,
17/12/2013,37420,36351,37420,36084,295.95K,
18/12/2013,37955,37420,37955,36618,102.72K,
19/12/2013,37420,37153,37688,36886,392.84K,
20/12/2013,35282,37420,37420,35282,1.14M,
23/12/2013,37420,36351,37420,36084,145.99K,
24/12/2013,37153,36886,37420,36618,243.50K,
25/12/2013,36886,37153,37153,36351,308.45K,
26/12/2013,37420,36886,37688,36618,870.26K,
27/12/2013,37420,37688,37688,36886,279.74K,
30/12/2013,36886,37420,37420,36618,457.52K,
31/12/2013,37420,37420,37688,36351,181.43K,
2/1/2014,37420,37420,37688,37153,140.20K,
3/1/2014,37688,37420,37688,37153,171.95K,
6/1/2014,37688,37688,37688,37153,209.06K,
7/1/2014,37688,37688,37688,37420,550.19K,
8/1/2014,37420,37420,37688,37420,205.57K,
9/1/2014,37688,37420,37688,37153,346.76K,
10/1/2014,37955,37955,38222,37688,267.52K,
13/01/2014,37955,38222,38222,37688,190.97K,
14/01/2014,37688,37955,37955,37688,208.65K,
15/01/2014,37688,37420,37955,37420,309.12K,
16/01/2014,37688,37688,37688,37420,100.32K,
17/01/2014,38757,37688,40093,37688,1.05M,
20/01/2014,40628,39291,41162,39291,2.31M,
21/01/2014,42499,41162,42766,39291,1.23M,
22/01/2014,41162,42499,42766,41162,783.74K,
23/01/2014,40360,41162,41162,40093,244.19K,
24/01/2014,40895,40628,40895,40093,357.72K,
27/01/2014,40895,40895,40895,40628,278.43K,
6/2/2014,40360,40895,40895,39826,493.20K,
7/2/2014,39826,40895,40895,39559,417.66K,
10/2/2014,40628,39826,40628,39826,176.57K,
11/2/2014,40895,41162,41162,40628,1.15M,
12/2/2014,41430,40895,41430,40628,309.78K,
13/02/2014,41697,41430,41697,41162,541.44K,
14/02/2014,41162,41697,41964,41162,274.40K,
17/02/2014,40895,41162,41162,40628,333.18K,
18/02/2014,41697,41697,41964,41162,572.49K,
19/02/2014,41964,42231,42231,41430,364.48K,
20/02/2014,41964,41964,41964,41162,398.75K,
21/02/2014,41430,41964,41964,41430,277.66K,
24/02/2014,41697,41964,41964,41430,162.24K,
25/02/2014,41697,41430,41964,41430,268.23K,
26/02/2014,41430,41697,41697,41162,201.84K,
27/02/2014,41697,41697,41697,41162,291.56K,
28/02/2014,40895,41697,41697,40895,344.16K,
3/3/2014,39826,41162,41430,39559,558.03K,
4/3/2014,39291,39559,39826,38757,681.79K,
5/3/2014,39826,39559,40093,39291,624.76K,
6/3/2014,39826,39826,40628,39826,392.14K,
7/3/2014,40093,39826,40360,39826,175.19K,
10/3/2014,40360,40360,40628,40093,209.68K,
11/3/2014,40093,40360,40628,39826,187.66K,
12/3/2014,41162,40895,41697,40628,983.38K,
13/03/2014,41162,41162,41430,40895,557.13K,
14/03/2014,40628,41162,41162,40360,602.24K,
17/03/2014,41964,41162,41964,41162,2.12M,
18/03/2014,41430,41430,41697,41162,2.16M,
19/03/2014,41430,41162,41697,41162,804.79K,
20/03/2014,40895,41430,41697,40895,794.29K,
21/03/2014,41964,41430,41964,41162,4.76M,
24/03/2014,41697,41697,41964,41162,446.15K,
25/03/2014,40895,41430,41430,40895,385.32K,
26/03/2014,39291,40895,40895,39024,592.43K,
27/03/2014,39826,39826,39826,38489,1.07M,
28/03/2014,39559,40093,40093,39559,561.27K,
31/03/2014,39291,40093,40093,39291,431.54K,
1/4/2014,38757,39291,39291,38489,745.45K,
2/4/2014,38757,38757,39024,37955,1.56M,
3/4/2014,39291,39024,39559,39024,266.21K,
4/4/2014,39291,39291,39559,39024,1.54M,
7/4/2014,39024,39291,39559,39024,1.53M,
8/4/2014,37955,38757,39024,37955,1.64M,
10/4/2014,37688,38489,38757,37420,2.48M,
11/4/2014,36886,37153,37420,36618,925.11K,
14/04/2014,36618,36886,36886,36084,1.43M,
15/04/2014,36351,36351,37153,36084,1.23M,
16/04/2014,35282,36084,36351,35015,1.61M,
17/04/2014,35549,35549,36084,35282,1.63M,
18/04/2014,34747,35549,35549,34480,1.22M,
21/04/2014,34480,34747,35015,34213,720.27K,
22/04/2014,35282,34213,35282,34213,1.68M,
23/04/2014,35817,35549,36351,35282,1.46M,
24/04/2014,35817,35817,36084,35549,598.03K,
25/04/2014,35817,35549,36084,35549,1.20M,
28/04/2014,35015,35817,35817,34747,847.12K,
29/04/2014,34747,35015,35549,34480,1.10M,
5/5/2014,34213,34747,34747,34213,1.44M,
6/5/2014,33946,33411,33946,33144,1.64M,
7/5/2014,34480,33411,34747,33411,732.45K,
8/5/2014,33411,33678,33678,32342,2.76M,
9/5/2014,34213,33144,34213,33144,1.14M,
12/5/2014,33411,33946,33946,32342,890.09K,
13/05/2014,33411,32609,33411,32609,362.08K,
14/05/2014,34480,33144,34747,33144,674.52K,
15/05/2014,34480,34480,35015,33678,470.21K,
16/05/2014,34747,33946,35015,33946,258.52K,
19/05/2014,35817,35282,35817,35015,1.22M,
20/05/2014,35549,35282,35817,34747,140.15K,
21/05/2014,35817,35817,36084,35282,954.20K,
22/05/2014,35282,35817,36084,35282,529.64K,
23/05/2014,35549,35549,35817,35282,352.50K,
26/05/2014,35817,35549,36084,35282,629.34K,
